ID_Etudiant,Nom,Prenom,Departement,Grade,Annee_etude,Filière,Code_UE,Nom_UE,Code_Matiere,Matiere,Enseignant,Note_Devoir,Note_Examen,Note_Finale,Reussite,Date_Devoir,Date_Examen,Session,Coefficient_Devoir,Coefficient_Examen
ETU0001,Laroche,Jérôme,Génie Informatique,Licence professionnelle,3,IA et Big Data,INF2403,Big Data Technologies,1INF2403,Hadoop et Spark,Josette Normand,0.0,3.9,2.3,False,2025-09-24,2025-12-01,Principale,0.4,0.6
ETU0001,Laroche,Jérôme,Génie Informatique,Licence professionnelle,3,IA et Big Data,INF2403,Big Data Technologies,2INF2403,Traitement en streaming,Luce Pineau,3.0,1.8,2.3,False,2025-08-16,2025-11-26,Principale,0.4,0.6
ETU0001,Laroche,Jérôme,Génie Informatique,Licence professionnelle,3,IA et Big Data,INF2403,Big Data Technologies,3INF2403,Bases NoSQL,Emmanuel-Grégoire Marion,0.0,0.0,0.0,False,2025-07-26,2025-11-26,Principale,0.4,0.6
ETU0001,Laroche,Jérôme,Génie Informatique,Licence professionnelle,3,IA et Big Data,INF2401,Intelligence Artificielle,1INF2401,Réseaux de neurones,Aurélie Boulay,0.0,0.6,0.4,False,2025-06-22,2025-11-12,Principale,0.4,0.6
ETU0001,Laroche,Jérôme,Génie Informatique,Licence professionnelle,3,IA et Big Data,INF2401,Intelligence Artificielle,2INF2401,Traitement du langage naturel,Arthur-Martin Mahe,1.3,0.0,0.5,False,2025-10-08,2025-12-10,Principale,0.4,0.6
ETU0001,Laroche,Jérôme,Génie Informatique,Licence professionnelle,3,IA et Big Data,INF2401,Intelligence Artificielle,3INF2401,Apprentissage automatique,Emmanuel-Grégoire Marion,1.6,1.7,1.7,False,2025-06-26,2025-11-11,Principale,0.4,0.6
ETU0001,Laroche,Jérôme,Génie Informatique,Licence professionnelle,3,IA et Big Data,INF2402,Data Science,1INF2402,Statistiques avancées,Célina-Émilie Le Roux,0.0,0.0,0.0,False,2025-06-19,2025-11-29,Principale,0.4,0.6
ETU0001,Laroche,Jérôme,Génie Informatique,Licence professionnelle,3,IA et Big Data,INF2402,Data Science,2INF2402,Visualisation de données,Aurélie Blanc,0.0,8.2,4.9,False,2025-10-05,2025-11-30,Principale,0.4,0.6
ETU0002,Guibert,David,Génie Mécanique,Master,1,Matériaux et Procédés,MEC2403,Traitements de Surface,1MEC2403,Nitruration,Thibaut Bernier,16.9,20.0,18.8,True,2025-07-09,2025-11-23,Principale,0.4,0.6
ETU0002,Guibert,David,Génie Mécanique,Master,1,Matériaux et Procédés,MEC2403,Traitements de Surface,2MEC2403,Revêtements PVD/CVD,Aurélie Boulay,17.1,10.5,13.1,True,2025-07-19,2025-12-03,Principale,0.4,0.6
ETU0002,Guibert,David,Génie Mécanique,Master,1,Matériaux et Procédés,MEC2403,Traitements de Surface,3MEC2403,Traitements thermiques,Alix Jacob,11.5,11.8,11.7,True,2025-10-17,2025-11-12,Principale,0.4,0.6
ETU0002,Guibert,David,Génie Mécanique,Master,1,Matériaux et Procédés,MEC2402,Procédés de Fabrication,1MEC2402,Emboutissage,Victor Ollivier,18.5,18.4,18.4,True,2025-11-03,2025-11-23,Principale,0.4,0.6
ETU0002,Guibert,David,Génie Mécanique,Master,1,Matériaux et Procédés,MEC2402,Procédés de Fabrication,2MEC2402,Injection plastique,Bertrand Boutin du Bouchet,14.1,15.2,14.8,True,2025-07-08,2025-11-14,Rattrapage,0.4,0.6
ETU0002,Guibert,David,Génie Mécanique,Master,1,Matériaux et Procédés,MEC2401,Science des Matériaux,1MEC2401,Propriétés mécaniques,Thibaut Bernier,15.8,14.9,15.3,True,2025-06-22,2025-11-28,Principale,0.4,0.6
ETU0002,Guibert,David,Génie Mécanique,Master,1,Matériaux et Procédés,MEC2401,Science des Matériaux,2MEC2401,Diagrammes de phases,Henriette Meunier-Henry,12.3,18.3,15.9,True,2025-08-07,2025-11-30,Principale,0.4,0.6
ETU0002,Guibert,David,Génie Mécanique,Master,1,Matériaux et Procédés,MEC2401,Science des Matériaux,3MEC2401,Transformations structurales,Emmanuel Chrétien,17.1,14.1,15.3,True,2025-07-16,2025-12-02,Principale,0.4,0.6
ETU0003,Pierre,Frédérique,Génie Informatique,Master Professionnel,1,Système Informatique,INF2303,Robotique et Automatisme,1INF2303,Vision par ordinateur,Antoinette Georges,9.4,8.4,8.8,False,2025-07-23,2025-11-27,Principale,0.4,0.6
